               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032937,            0.032455,            0.015461,             0.94226,             0.76746,             0.76914,              0.4717,            0.033349,            0.020111,           0.0065042,            0.006436,            0.006436,            0.006436
                  38,            0.032909,            0.032146,            0.015125,             0.92955,             0.75517,             0.74911,             0.47099,             0.03351,            0.020123,           0.0064981,            0.006337,            0.006337,            0.006337
                  39,             0.03294,            0.032538,            0.014922,             0.94329,             0.76963,             0.79619,             0.48856,            0.032888,            0.019935,           0.0064053,            0.006238,            0.006238,            0.006238
                  40,            0.032927,            0.032466,            0.015269,             0.94568,             0.77073,             0.78572,             0.49079,            0.032888,            0.019891,           0.0063571,            0.006139,            0.006139,            0.006139
                  41,              0.0325,            0.032335,            0.014929,             0.93122,             0.76222,             0.79572,             0.49176,            0.032779,            0.019892,           0.0063059,             0.00604,             0.00604,             0.00604
                  42,            0.032687,             0.03214,            0.014835,             0.94521,             0.77317,             0.80071,              0.4887,             0.03251,            0.019703,           0.0064174,            0.005941,            0.005941,            0.005941
                  43,            0.032408,             0.03221,            0.014727,             0.94496,             0.77156,              0.8255,             0.49666,            0.032495,             0.01997,           0.0062815,            0.005842,            0.005842,            0.005842
                  44,            0.032355,            0.032112,            0.014464,             0.94553,             0.77336,             0.81414,             0.50064,            0.032626,            0.019673,           0.0063738,            0.005743,            0.005743,            0.005743
                  45,             0.03193,            0.031762,            0.014511,             0.94283,              0.7655,             0.79803,             0.49866,            0.032486,            0.019647,           0.0062826,            0.005644,            0.005644,            0.005644
                  46,            0.032204,            0.032168,            0.014699,             0.94279,             0.77009,             0.81295,              0.4996,            0.032455,            0.019694,           0.0061259,            0.005545,            0.005545,            0.005545
                  47,            0.031922,            0.031693,            0.014714,             0.94276,             0.77157,             0.79296,             0.49525,            0.032588,            0.019677,            0.006148,            0.005446,            0.005446,            0.005446
                  48,             0.03189,            0.031857,            0.014275,             0.93881,             0.76533,             0.78515,             0.49505,            0.032522,            0.019651,            0.006106,            0.005347,            0.005347,            0.005347
                  49,            0.031862,            0.032043,            0.014434,             0.94507,             0.76842,             0.80513,             0.50071,             0.03254,            0.019538,           0.0060884,            0.005248,            0.005248,            0.005248
                  50,            0.031759,             0.03224,            0.014201,             0.94724,             0.77346,             0.80753,             0.49714,            0.032392,            0.019674,           0.0060187,            0.005149,            0.005149,            0.005149
                  51,            0.031202,            0.031589,               0.014,             0.94607,             0.77234,             0.81268,             0.50558,            0.032095,            0.019634,           0.0060476,             0.00505,             0.00505,             0.00505
                  52,             0.03141,            0.031581,            0.014139,              0.9432,             0.76998,             0.82489,             0.51053,            0.032093,            0.019517,            0.006089,            0.004951,            0.004951,            0.004951
                  53,            0.031052,            0.031274,             0.01378,             0.94462,             0.77082,             0.82004,             0.50622,            0.032069,            0.019645,           0.0059373,            0.004852,            0.004852,            0.004852
                  54,            0.031181,            0.031524,            0.013659,             0.94147,             0.76699,             0.81499,             0.50956,            0.032031,            0.019574,           0.0059588,            0.004753,            0.004753,            0.004753
                  55,            0.030809,            0.031066,             0.01361,             0.94301,             0.76816,             0.82319,             0.50856,            0.031973,            0.019397,           0.0060966,            0.004654,            0.004654,            0.004654
